int	int	string	string	string	string	string
属性ID	字段类型	字段名称	英文名称	中文名称	图标	描述
id	type	field	enName	zh_cn_name	icon	tip
1101	1	lady	Lady	女		
1102	1	man	Man	男		
1201	2	usa	NA	北美		
1202	2	europe	Europe	欧洲		
1203	2	asia	Asia	亚洲		
1301	3	1	1	1		剧本，演员，物品的星级
1302	3	2	2	2		剧本，演员，物品的星级
1303	3	3	3	3		剧本，演员，物品的星级
1304	3	4	4	4		剧本，演员，物品的星级
1305	3	5	5	5		剧本，演员，物品的星级
1306	3	6	6	6		剧本，演员，物品的星级
1401	4	acting	Acting	演技派		
1402	4	idol	Idol	偶像派		
1501	5	youth	Youth	青春型		
1502	5	mature	Mature	成熟型		
1601	6	spectacle	Spectacle	场面		
1602	6	perform	Perform	表演		
1603	6	plot	Plot	剧情		
1604	6	art	Art	艺术		
1605	6	entertainment	Entertainment	娱乐		
1701	7	war	War	战争片		
1702	7	test001	Test001	科幻片		
1703	7	test002	Test002	现代片		
1704	7	test003	Test003	励志片		
1705	7	test004	Test004	犯罪片		
1706	7	test005	Test005	奇幻片		
1707	7	test006	Test006	谍战片		
1708	7	test007	Test007	冒险片		
1709	7	test008	Test008	古装片		
1710	7	test009	Test009	灾难片		
1801	8	test010	Test010	英雄		
1802	8	test011	Test011	神鬼		
1803	8	test012	Test012	伦理		
1804	8	test013	Test013	浪漫		
1805	8	test014	Test014	历史		
1806	8	test015	Test015	太空		
1807	8	test016	Test016	末世		
1808	8	test017	Test017	复仇		
1809	8	test018	Test018	警匪		
1810	8	test019	Test019	艺术		
1811	8	test020	Test020	怪兽		
1812	8	test021	Test021	校园		
1813	8	test022	Test022	政治		
1814	8	test023	Test023	机器人		
1815	8	test024	Test024	穿越		
1816	8	test025	Test025	公路		
1817	8	test026	Test026	枪战		
1818	8	test027	Test027	飙车		
1819	8	test028	Test028	宫廷		
1820	8	test029	Test029	传奇		
1901	9	test030	Test030	军人		
1902	9	test031	Test031	青春		
1903	9	test032	Test032	机灵		
1904	9	test033	Test033	高颜值		
1905	9	test034	Test034	花花公子		
1906	9	test035	Test035	艺术家		
1907	9	test036	Test036	强壮		
1908	9	test037	Test037	学生		
1909	9	test038	Test038	贵族		
1910	9	test039	Test039	领导者		
1911	9	test040	Test040	罪犯		
1912	9	test041	Test041	神职人员		
1913	9	test042	Test042	超能力		
1914	9	test043	Test043	警察		
1915	9	test044	Test044	大亨		
1916	9	test045	Test045	侠客		
1917	9	test046	Test046	搞笑		
1918	9	test047	Test047	海盗		
1919	9	test048	Test048	佣兵		
1920	9	test049	Test049	残酷		
1921	9	test050	Test050	沧桑		
1922	9	test051	Test051	高智商		
1923	9	test052	Test052	反派		
1924	9	test053	Test053	车手		
1925	9	test054	Test054	枪手		
1926	9	test055	Test055	打斗		
1927	9	test056	Test056	口才好		
1928	9	test057	Test057	忠诚		
1929	9	test058	Test058	无常识		
1930	9	test059	Test059	疯狂		
1931	9	test060	Test060	忧郁		
1932	9	test061	Test061	性感		
1933	9	test062	Test062	教师		
1934	9	test063	Test063	硬汉		
1935	9	test064	Test064	痴情		
1936	9	test065	Test065	赌徒		
1937	9	test066	Test066	间谍		
1938	9	test067	Test067	失忆		
1939	9	test068	Test068	医生		
1940	9	test069	Test069	拜金		
1941	9	test070	Test070	长者		
1942	9	test071	Test071	天真		
1943	9	test072	Test072	阴谋家		
1944	9	test073	Test073	童星		
1945	9	test074	Test074	颓废		
1946	9	test075	Test075	学者		
1947	9	test076	Test076	记者		
1948	9	test077	Test077	功夫		
1949	9	test078	Test078	政客		
2001	10	test079	Test079	男性		
2002	10	test080	Test080	女性		
2003	10	test081	Test081	儿童		
2101	11	test082	Test082	主角		
2102	11	test083	Test083	男主角		
2103	11	test084	Test084	女主角		
2104	11	test085	Test085	配角		
2105	11	test086	Test086	男配角		
2106	11	test087	Test087	女配角		
2107	11	test088	Test088	反派		
2201	12	dance	Dance	歌舞		
2202	12	romance	Romance	爱情		
2203	12	comedy	Comedy	喜剧		
2204	12	feature	Feature	叙事		
2205	12	action	Action	动作		
2206	12	horror	Horror	恐怖		
2207	12	cartoon	Cartoon	动画		
2208	12	suspense	Suspense	悬疑		
2301	13	secondary_property	Secondary_property	次要属性		
2302	13	main_property	Main_property	主要属性		
2401	14	odd_number	Odd_number	奇数升级		
2402	14	even_numbers	Even_numbers	偶数升级		
2501	15	test095	Test095	街区1档		
2502	15	test096	Test096	街区2档		
2503	15	test097	Test097	街区3档		
2504	15	test098	Test098	街区4档		
2505	15	test099	Test099	街区5档		
2506	15	test100	Test100	街区6档		
2507	15	test101	Test101	街区7档		
2508	15	test102	Test102	街区8档		
2509	15	test103	Test103	街区9档		
2510	15	test104	Test104	街区10档		
2511	15	test105	Test105	城市1档		
2512	15	test106	Test106	城市2档		
2513	15	test107	Test107	城市3档		
2514	15	test108	Test108	城市4档		
2515	15	test109	Test109	城市5档		
2516	15	test110	Test110	城市6档		
2517	15	test111	Test111	城市7档		
2518	15	test112	Test112	城市8档		
2519	15	test113	Test113	城市9档		
2520	15	test114	Test114	城市10档		
2521	15	test115	Test115	国家1档		
2522	15	test116	Test116	国家2档		
2523	15	test117	Test117	国家3档		
2524	15	test118	Test118	国家4档		
2525	15	test119	Test119	国家5档		
2526	15	test120	Test120	国家6档		
2527	15	test121	Test121	国家7档		
2528	15	test122	Test122	国家8档		
2529	15	test123	Test123	国家9档		
2530	15	test124	Test124	国家10档		
2531	15	test125	Test125	全球1档		
2532	15	test126	Test126	全球2档		
2533	15	test127	Test127	全球3档		
2534	15	test128	Test128	全球4档		
2535	15	test129	Test129	全球5档		
2536	15	test130	Test130	全球6档		
2537	15	test131	Test131	全球7档		
2538	15	test132	Test132	全球8档		
2539	15	test133	Test133	全球9档		
2540	15	test134	Test134	全球10档		
2601	16	test135	Test135	歌舞_经验		
2602	16	test136	Test136	爱情_经验		
2603	16	test137	Test137	喜剧_经验		
2604	16	test138	Test138	叙事_经验		
2605	16	test139	Test139	动作_经验		
2606	16	test140	Test140	恐怖_经验		
2607	16	test141	Test141	动画_经验		
2608	16	test142	Test142	悬疑_经验		
